driver_trip,prob
1_1,0.020870957385
1_2,0.983803741479
1_3,0.722499326344
1_4,0.877793496268
1_5,0.995821221972
1_6,0.995652809549
1_7,0.995836271593
1_8,0.960175120253
1_9,0.996145863791
1_10,0.770836558247
1_11,0.992441507141
1_12,0.995063724394
1_13,0.0557918107125
1_14,0.0887483302078
1_15,0.978161566995
1_16,0.997310417777
1_17,0.970718454561
1_18,0.041180062262
1_19,0.986348560683
1_20,0.876960033938
1_21,0.0887490468564
1_22,0.974359029485
1_23,0.983801591533
1_24,0.789385574145
1_25,0.732681469754
1_26,0.969108861789
1_27,0.984048118654
1_28,0.0887511968022
1_29,0.976910298527
1_30,0.962675507243
1_31,0.944620978883
1_32,0.875821995949
1_33,0.963908142847
1_34,0.971058146001
1_35,0.0367225079258
1_36,0.0519964396892
1_37,0.0208702407364
1_38,0.953208579143
1_39,0.0887526300994
1_40,0.786405749237
1_41,0.762496201757
1_42,0.737938803936
1_43,0.895577131454
1_44,0.982766034296
1_45,0.809869541283
1_46,0.915011925031
1_47,0.904905029724
1_48,0.0430454985864
1_49,0.971928874058
1_50,0.893169192134
1_51,0.0493878387593
1_52,0.932306089218
1_53,0.088753346748
1_54,0.893704528643
1_55,0.0607295196155
1_56,0.891562465957
1_57,0.848908257508
1_58,0.823818389772
1_59,0.761526576191
1_60,0.813975937802
1_61,0.7907206905
1_62,0.891152542953
1_63,0.965610183289
1_64,0.879888976795
1_65,0.0887540633967
1_66,0.889962189617
1_67,0.759788703319
1_68,0.852119559917
1_69,0.77804317664
1_70,0.0208695240878
1_71,0.0488568021414
1_72,0.908753432745
1_73,0.77038220303
1_74,0.929746220394
1_75,0.830986309141
1_76,0.810690820587
1_77,0.746125797624
1_78,0.805463585646
1_79,0.725236924023
1_80,0.931287014899
1_81,0.056407411866
1_82,0.745113889791
1_83,0.850433285744
1_84,0.788825871583
1_85,0.786569145119
1_86,0.912489321934
1_87,0.805187675933
1_88,0.784876421109
1_89,0.0208688074392
1_90,0.0887562133425
1_91,0.830924677361
1_92,0.048191752234
1_93,0.787658451002
1_94,0.814281230109
1_95,0.80012097028
1_96,0.81453277377
1_97,0.809416619363
1_98,0.890139918471
1_99,0.745735940782
1_100,0.811691262042
1_101,0.0208680907906
1_102,0.966419996215
1_103,0.934241040458
1_104,0.816152399622
1_105,0.0543706965246
1_106,0.0887569299911
1_107,0.962768671562
1_108,0.899060043684
1_109,0.020867374142
1_110,0.779356793537
1_111,0.770487550375
1_112,0.779898579884
1_113,0.937677370529
1_114,0.0339304449525
1_115,0.794062422955
1_116,0.804660939206
1_117,0.889729995468
1_118,0.0806953498097
1_119,0.948830572802
1_120,0.939254714113
1_121,0.0887576466397
1_122,0.787255694485
1_123,0.0887583632883
1_124,0.0208645075476
1_125,0.020863790899
1_126,0.932149143173
1_127,0.939216015088
1_128,0.0489986985656
1_129,0.826172580447
1_130,0.850651146921
1_131,0.758118912064
1_132,0.0208623576017
1_133,0.0887590799369
1_134,0.890204416846
1_135,0.810144734348
1_136,0.955884545042
1_137,0.0208616409531
1_138,0.936672629182
1_139,0.795623283622
1_140,0.0208609243045
1_141,0.821279303757
1_142,0.881785229009
1_143,0.0208594910073
1_144,0.783589320211
1_145,0.0630385614276
1_146,0.0887597965855
1_147,0.758210643086
1_148,0.964647007561
1_149,0.761525859543
1_150,0.826937244511
1_151,0.0208587743587
1_152,0.78500470121
1_153,0.060940214306
1_154,0.82573900804
1_155,0.0887605132341
1_156,0.764813126704
1_157,0.931306364411
1_158,0.76345651089
1_159,0.0887619465313
1_160,0.808060720199
1_161,0.0887626631799
1_162,0.0686707028309
1_163,0.762212408908
1_164,0.938403335568
1_165,0.743310801895
1_166,0.79866474031
1_167,0.908298360879
1_168,0.847110186153
1_169,0.0887633798285
1_170,0.918807296054
1_171,0.840220326444
1_172,0.0384739971216
1_173,0.0208573410615
1_174,0.741103524185
1_175,0.777080717561
1_176,0.939888231482
1_177,0.0887676797202
1_178,0.797456470759
1_179,0.767883249337
1_180,0.817567063972
1_181,0.782402550117
1_182,0.789521737381
1_183,0.907641194106
1_184,0.822407308665
1_185,0.939736301977
1_186,0.088769829666
1_187,0.0262938373951
1_188,0.0228094918673
1_189,0.820273845761
1_190,0.820936029074
1_191,0.746329325828
1_192,0.928241258319
1_193,0.892289864293
1_194,0.0287103764983
1_195,0.82761662739
1_196,0.792527361639
1_197,0.906891579663
1_198,0.796906801277
1_199,0.823571146003
1_200,0.813404768862
10_1,0.995333900919
10_2,0.0217846843591
10_3,0.992969677164
10_4,0.986439575056
10_5,0.987556830234
10_6,0.997319017561
10_7,0.97467578817
10_8,0.996071332336
10_9,0.983946354551
10_10,0.987424250242
10_11,0.894753702204
10_12,0.0435063036407
10_13,0.987591229367
10_14,0.992184946939
10_15,0.985467082896
10_16,0.988524305854
10_17,0.063864140623
10_18,0.069403834356
10_19,0.992886545926
10_20,0.996344375455
10_21,0.722514375964
10_22,0.979643596314
10_23,0.932150576471
10_24,0.908886729386
10_25,0.990152531489
10_26,0.028220188851
10_27,0.987746025467
10_28,0.927090320656
10_29,0.0638655739202
10_30,0.986424525435
10_31,0.984073201355
10_32,0.0208566244129
10_33,0.962613158814
10_34,0.058588890226
10_35,0.9826864863
10_36,0.735072926156
10_37,0.95820576988
10_38,0.0966988298551
10_39,0.90307040929
10_40,0.891227791057
10_41,0.963899543064
10_42,0.909730224796
10_43,0.737821990213
10_44,0.98402446925
